ClusterLOD diagnostics report
Generated by CLodCacheTool

=== USD submesh 0 ===
Source: C:\Users\matth\source\repos\SARP\BasicRenderer\models\Trees\branch.usdz
Cache identity: source='C:/Users/matth/source/repos/SARP/BasicRenderer/models/Trees/branch.usdz' prim='/root/Branch04_014/Branch04_005' subset='Tileable_Alt2_Material_006'
Cache source: build_hash=0xf314a121fc253a4a container='clod_cec690980ce8f84.clodbin'
Summary: groups=28 voxel_groups=6 segments=107 refined_edges=66 terminal_segments=35 nodes=120 internal_nodes=19 segment_leaf_nodes=95 voxel_leaf_nodes=6 lod_levels=12 max_depth=11 max_traversal_depth=5 triangle_pages=60 voxel_pages=1
Errors: group_error_min=7.43607e-05 group_error_max=3.40282e+38 max_parent_to_own_error_ratio=6.91138
Parentage: root_groups=1 multi_parent_groups=17 max_parent_ref_count=5
Validation: invalid_segment_ranges=0 invalid_refined_groups=0 refined_edges_to_lower_depth=66 refined_edges_to_same_or_higher_depth=0 non_selected_parent_edges=30 finite_group_error_issues=0 invalid_node_kinds=0 invalid_node_ranges=0 invalid_leaf_owners=0 invalid_leaf_segments=0 non_finite_node_metrics=0 internal_max_error_violations=0 unreachable_nodes=0 duplicate_segment_leaf_refs=0

DAG interval coverage by owner depth:
depth,segments,meshlets,min_child_error,max_child_error,min_owner_error,max_owner_error
0,35,3647,0,0,7.43607e-05,0.00018394
1,37,1819,7.43607e-05,0.00018394,0.000333765,0.000513935
2,16,748,0.000333765,0.000513935,0.00112817,0.0014516
3,5,325,0.00112817,0.0014516,0.00421815,0.00421815
4,1,145,0.00421815,0.00421815,0.0088617,0.0088617
5,1,74,0.0088617,0.0088617,0.0112564,0.0112564
6,1,1,0.0112564,0.0112564,0.0149822,0.0149822
7,1,1,0.0149822,0.0149822,0.0164805,0.0164805
8,1,1,0.0164805,0.0164805,0.0181285,0.0181285
9,1,1,0.0181285,0.0181285,0.0199414,0.0199414
10,1,1,0.0199414,0.0199414,0.0219355,0.0219355
11,1,1,0.0219355,0.0219355,3.40282e+38,3.40282e+38

DAG threshold sweep (mesh-space interval rule, first 96):
threshold,total_segments,total_meshlets,dominant_depth,active_depths
0,35,3647,0,0:35/3647
7.43607e-05,38,3864,0,0:35/3647;1:3/217
8.17617e-05,33,3103,0,0:25/2563;1:8/540
8.98992e-05,36,3266,0,0:25/2563;1:11/703
9.58513e-05,32,2810,0,0:19/1979;1:13/831
0.000102197,36,2973,0,0:19/1979;1:17/994
0.000108046,34,2444,0,0:12/1250;1:22/1194
0.00011423,39,2432,1,0:7/784;1:32/1648
0.000144954,35,1990,1,0:3/342;1:32/1648
0.00018394,40,2161,1,0:3/342;1:37/1819
0.000247776,37,1819,1,1:37/1819
0.000333765,39,1982,1,1:37/1819;2:2/163
0.000357463,28,1346,1,1:22/1013;2:6/333
0.000382845,30,1433,1,1:22/1013;2:8/420
0.000421484,21,1000,2,1:10/434;2:11/566
0.000464022,22,1009,2,1:10/434;2:12/575
0.000488341,21,982,2,1:9/407;2:12/575
0.000513935,25,1155,2,1:9/407;2:16/748
0.00076145,16,748,2,2:16/748
0.00112817,17,759,2,2:16/748;3:1/11
0.00118828,15,732,2,2:14/721;3:1/11
0.00125159,17,828,2,2:14/721;3:3/107
0.00134789,11,594,2,2:8/487;3:3/107
0.0014516,13,812,2,2:8/487;3:5/325
0.00247448,5,325,3,3:5/325
0.00421815,6,470,3,3:5/325;4:1/145
0.00611392,1,145,4,4:1/145
0.0088617,2,219,4,4:1/145;5:1/74
0.00998752,1,74,5,5:1/74
0.0112564,2,75,5,5:1/74;6:1/1
0.0129864,1,1,6,6:1/1
0.0149822,2,2,6,6:1/1;7:1/1
0.0157135,1,1,7,7:1/1
0.0164805,2,2,7,7:1/1;8:1/1
0.0172848,1,1,8,8:1/1
0.0181285,2,2,8,8:1/1;9:1/1
0.0190133,1,1,9,9:1/1
0.0199414,2,2,9,9:1/1;10:1/1
0.0209147,1,1,10,10:1/1
0.0219355,2,2,10,10:1/1;11:1/1
2.73208e+18,1,1,11,11:1/1

LOD depth summary:
depth,groups,meshlets,terminal_segments,root_node,root_kind,root_children,root_error,root_lod_radius,range_offset,range_count
0,10,3647,35,1,internal,5,0.00018394,0.41735,13,40
1,6,1819,0,2,internal,5,0.000513935,0.4067,53,42
2,3,748,0,3,internal,2,0.0014516,0.4067,95,18
3,1,325,0,4,internal,5,0.00421815,0.406696,113,5
4,1,145,0,5,segment-leaf,0,0.0088617,0.406692,5,1
5,1,74,0,6,segment-leaf,0,0.0112564,0.406692,6,1
6,1,0,0,7,voxel-leaf,0,0.0149822,0.406692,7,1
7,1,0,0,8,voxel-leaf,0,0.0164805,0.406692,8,1
8,1,0,0,9,voxel-leaf,0,0.0181285,0.406692,9,1
9,1,0,0,10,voxel-leaf,0,0.0199414,0.406692,10,1
10,1,0,0,11,voxel-leaf,0,0.0219355,0.406692,11,1
11,1,0,0,12,voxel-leaf,0,3.40282e+38,0.406692,12,1

Top root children:
child_index,node_id,kind,child_count,error,lod_radius,owner_group
0,118,internal,8,0.0164805,0.433267,-1
1,119,internal,4,3.40282e+38,0.406696,-1

Root groups:
group,depth,error,segments,terminal_segments,meshlets,leaf_refs,page_base,page_count
27,11,3.40282e+38,1,0,0,1,70,1

Suspicious groups (first 128):
group,depth,flags,parent_refs,selected_parent,max_direct_parent_error,max_parent_error,own_error,parent_to_own_ratio,segments,terminal_segments,meshlets,page_base,page_count,leaf_refs
27,11,0x1,0,-1,0,3.40282e+38,3.40282e+38,0,1,0,0,70,1,1

Suspicious segments (first 128):
segment,owner_group,owner_depth,refined_group,refined_depth,meshlets,page,first_meshlet,leaf_refs
101,22,6,21,5,1,65,0,0
102,23,7,22,6,1,66,1,0
103,24,8,23,7,1,67,2,0
104,25,9,24,8,1,68,3,0
105,26,10,25,9,1,69,4,0
106,27,11,26,10,1,70,5,0


=== USD submesh 1 ===
Source: C:\Users\matth\source\repos\SARP\BasicRenderer\models\Trees\branch.usdz
Cache identity: source='C:/Users/matth/source/repos/SARP/BasicRenderer/models/Trees/branch.usdz' prim='/root/Branch04_014/Branch04_005' subset='TwoSided_Material_011'
Cache source: build_hash=0xf314a121fc253a4a container='clod_174fd13b40b735f8.clodbin'
Summary: groups=104 voxel_groups=47 segments=1124 refined_edges=620 terminal_segments=224 nodes=547 internal_nodes=74 segment_leaf_nodes=244 voxel_leaf_nodes=229 lod_levels=13 max_depth=12 max_traversal_depth=6 triangle_pages=230 voxel_pages=530
Errors: group_error_min=0.00143746 group_error_max=3.40282e+38 max_parent_to_own_error_ratio=1.94714
Parentage: root_groups=2 multi_parent_groups=86 max_parent_ref_count=52
Validation: invalid_segment_ranges=0 invalid_refined_groups=0 refined_edges_to_lower_depth=620 refined_edges_to_same_or_higher_depth=0 non_selected_parent_edges=290 finite_group_error_issues=0 invalid_node_kinds=0 invalid_node_ranges=0 invalid_leaf_owners=0 invalid_leaf_segments=0 non_finite_node_metrics=0 internal_max_error_violations=0 unreachable_nodes=0 duplicate_segment_leaf_refs=0

DAG interval coverage by owner depth:
depth,segments,meshlets,min_child_error,max_child_error,min_owner_error,max_owner_error
0,224,21842,0,0,0.00143746,0.00279893
1,152,1828,0.00143746,0.00279893,0.00212221,0.00279893
2,94,1175,0.00212221,0.00279893,0.00245506,0.00279893
3,144,1587,0.00245506,0.00279893,0.00279893,3.40282e+38
4,127,659,0.00279893,0.00279893,0.00297062,0.00297062
5,69,274,0.00297062,0.00297062,0.0039539,0.0039539
6,22,78,0.0039539,0.0039539,0.0063678,0.0063678
7,6,21,0.0063678,0.0063678,0.00932309,0.00932309
8,2,7,0.00932309,0.00932309,0.012409,0.012409
9,1,3,0.012409,0.012409,0.0165164,0.0165164
10,1,2,0.0165164,0.0165164,0.0199849,0.0199849
11,1,1,0.0199849,0.0199849,0.0219834,0.0219834
12,1,1,0.0219834,0.0219834,3.40282e+38,3.40282e+38

DAG threshold sweep (mesh-space interval rule, first 96):
threshold,total_segments,total_meshlets,dominant_depth,active_depths
0,224,21842,0,0:224/21842
0.00143746,227,21950,0,0:224/21842;1:3/108
0.00145018,223,21541,0,0:220/21433;1:3/108
0.00146301,227,21573,0,0:220/21433;1:7/140
0.00147405,197,17383,0,0:175/17141;1:22/242
0.00148516,201,17412,0,0:175/17141;1:26/271
0.00149168,185,13891,0,0:137/13421;1:48/470
0.00149822,186,12775,0,0:124/12180;1:62/595
0.00150528,178,11540,0,0:112/10918;1:66/622
0.00151237,194,11661,0,0:112/10918;1:82/743
0.00151837,158,7658,0,0:70/6854;1:88/804
0.0015244,179,7493,0,0:66/6497;1:113/996
0.00155903,156,5329,0,0:43/4333;1:113/996
0.00159445,158,5348,0,0:43/4333;1:115/1015
0.00174257,154,4929,0,0:39/3914;1:115/1015
0.00190445,159,4997,0,0:39/3914;1:120/1083
0.00196268,155,4603,0,0:35/3520;1:120/1083
0.0020227,158,4751,0,0:35/3520;1:123/1231
0.00207186,153,4279,0,0:30/3048;1:123/1231
0.00212221,154,4284,0,0:30/3048;1:123/1231;2:1/5
0.00212785,153,4275,0,0:30/3048;1:122/1222;2:1/5
0.0021335,157,4306,0,0:30/3048;1:126/1253;2:1/5
0.00214431,152,3837,0,0:25/2579;1:126/1253;2:1/5
0.00215519,156,3887,0,0:25/2579;1:130/1303;2:1/5
0.00217428,150,3508,0,0:21/2214;1:127/1278;2:2/16
0.00219355,153,3530,0,0:21/2214;1:127/1278;2:5/38
0.00220758,149,3497,0,0:21/2214;1:123/1245;2:5/38
0.00222169,151,3525,0,0:21/2214;1:123/1245;2:7/66
0.00222678,143,3456,0,0:21/2214;1:115/1176;2:7/66
0.00223187,185,4061,0,0:21/2214;1:102/1065;2:62/782
0.0022777,121,3550,0,0:21/2214;1:38/554;2:62/782
0.00232447,125,3607,0,0:21/2214;1:42/611;2:62/782
0.00235449,121,3270,0,0:17/1834;1:34/542;2:70/894
0.00238491,125,3365,0,0:17/1834;1:38/637;2:70/894
0.00239574,122,3053,0,0:14/1522;1:38/637;2:70/894
0.00240662,124,3061,0,0:14/1522;1:40/645;2:70/894
0.00243072,118,2842,0,0:12/1313;1:32/591;2:74/938
0.00245506,167,3389,0,0:12/1313;1:32/591;2:74/938;3:49/547
0.00246834,140,3033,0,0:12/1313;1:32/591;2:47/582;3:49/547
0.00248169,145,3131,0,0:12/1313;1:37/689;2:47/582;3:49/547
0.00251049,140,2682,0,0:8/858;1:30/631;2:41/498;3:61/695
0.00253962,144,2810,0,0:8/858;1:34/759;2:41/498;3:61/695
0.00266612,134,2091,3,0:4/433;1:16/352;2:39/452;3:75/854
0.00279893,136,2221,3,0:4/433;1:18/482;2:39/452;3:75/854
0.0028835,132,722,4,3:5/63;4:127/659
0.00297062,201,996,4,3:5/63;4:127/659;5:69/274
0.00342718,74,337,5,3:5/63;5:69/274
0.0039539,96,415,5,3:5/63;5:69/274;6:22/78
0.00501773,27,141,6,3:5/63;6:22/78
0.0063678,33,162,6,3:5/63;6:22/78;7:6/21
0.00770503,11,84,3,3:5/63;7:6/21
0.00932309,13,91,3,3:5/63;7:6/21;8:2/7
0.010756,7,70,3,3:5/63;8:2/7
0.012409,8,73,3,3:5/63;8:2/7;9:1/3
0.0143162,6,66,3,3:5/63;9:1/3
0.0165164,7,68,3,3:5/63;9:1/3;10:1/2
0.0181681,6,65,3,3:5/63;10:1/2
0.0199849,7,66,3,3:5/63;10:1/2;11:1/1
0.0209603,6,64,3,3:5/63;11:1/1
0.0219834,7,65,3,3:5/63;11:1/1;12:1/1
2.73506e+18,6,64,3,3:5/63;12:1/1

LOD depth summary:
depth,groups,meshlets,terminal_segments,root_node,root_kind,root_children,root_error,root_lod_radius,range_offset,range_count
0,55,21842,224,1,internal,4,0.00279893,0.418257,14,256
1,25,754,0,2,internal,3,0.00279893,0.430692,270,174
2,10,0,0,3,internal,8,0.00279893,0.42535,444,67
3,4,0,0,4,internal,3,3.40282e+38,0.417834,511,27
4,2,0,0,5,internal,5,0.00297062,0.41783,538,5
5,1,0,0,6,internal,2,0.0039539,0.41783,543,2
6,1,0,0,7,voxel-leaf,0,0.0063678,0.417826,7,1
7,1,0,0,8,voxel-leaf,0,0.00932309,0.417826,8,1
8,1,0,0,9,voxel-leaf,0,0.012409,0.417826,9,1
9,1,0,0,10,voxel-leaf,0,0.0165164,0.417826,10,1
10,1,0,0,11,voxel-leaf,0,0.0199849,0.417826,11,1
11,1,0,0,12,voxel-leaf,0,0.0219834,0.417826,12,1
12,1,0,0,13,voxel-leaf,0,3.40282e+38,0.417826,13,1

Top root children:
child_index,node_id,kind,child_count,error,lod_radius,owner_group
0,545,internal,8,3.40282e+38,0.440751,-1
1,546,internal,5,3.40282e+38,0.41783,-1

Root groups:
group,depth,error,segments,terminal_segments,meshlets,leaf_refs,page_base,page_count
93,3,3.40282e+38,5,0,0,1,543,5
103,12,3.40282e+38,1,0,0,1,777,1

Suspicious groups (first 128):
group,depth,flags,parent_refs,selected_parent,max_direct_parent_error,max_parent_error,own_error,parent_to_own_ratio,segments,terminal_segments,meshlets,page_base,page_count,leaf_refs
93,3,0x1,0,-1,0,3.40282e+38,3.40282e+38,0,5,0,0,543,5,1
103,12,0x1,0,-1,0,3.40282e+38,3.40282e+38,0,1,0,0,777,1,1

Suspicious segments (first 128):
segment,owner_group,owner_depth,refined_group,refined_depth,meshlets,page,first_meshlet,leaf_refs
524,56,1,20,0,9,228,6,0
525,56,1,21,0,8,229,0,0
526,58,1,21,0,9,234,8,0
527,58,1,31,0,7,235,0,0
